"","...1","x","y","cena","nazwa","link","adres stacji","wielkosc ruchu","godziny otwarcia","liczba gwiazdek","sredni ruch poniedzialek","sredni ruch wtorek","sredni ruch sroda","sredni ruch czwartek","sredni ruch piatek","sredni ruch sobota","sredni ruch niedziela","udział poniedzialek","udział wtorek","udział sroda","udział czwartek","udział piatek","udział sobota","udział niedziela","średni spędzany czas (min)","sredni ruch w godzinach 4-8","sredni ruch w godzinach 8-12","sredni ruch w godzinach 12-16","sredni ruch w godzinach 16-20","sredni ruch w godzinach 20-24","sredni ruch w godzinach 24-4","N","grid","min_odl_trunk","max_odl_trunk","avg_odl_trunk","min_odl_primary","max_odl_primary","avg_odl_primary","palac_kultury","sources.lon","min_odl_stacji","max_odl_stacji","avg_odl_stacji","ile_stacji_r5","ile_stacji_r10"
"40",0,21.0950223,52.2346091,4.26,"Stacja Paliw ORLEN","https://www.google.com/search?tbm=lcl&ei=MTmXX9XaOvKnrgSQgZKwDg&q=52.2348+21.09479+&oq=52.2348+21.09479+&gs_l=psy-ab.3...27319.30884.0.31575.4.4.0.0.0.0.91.300.4.4.0....0...1c.1j2.64.psy-ab..0.0.0....0.xVWKibf6qSY#rlfi=hd:;si:16207259762813677326;mv:[[52.23497997731903,21.095083875536172],[52.23462002268097,21.094496124463838]]","Filomatów 6, 04-116 Warszawa",5776.5,"Czynne całą dobę",4.3,917.25,567,1117.5,738,863.25,772.5,801,0.158789924694884,0.0981563230329784,0.193456245131135,0.127759023630226,0.149441703453648,0.133731498312127,0.138665281745001,10,376.5,346.5,397.5,189.75,129.75,9,5776.5,391,14.8,32,22.7752800937989,0.2,32.1,15.1379665697217,12.7,21.094909,2.7,31.6,16.3223140495868,5,14
"41",0,20.9321818,52.2700282,4.28,"Stacja Paliw ORLEN","https://www.google.com/search?tbm=lcl&ei=azCXX_mbCZK53AOt-72QCw&q=52.2705+20.93262+&oq=52.2705+20.93262+&gs_l=psy-ab.3...1973244.1982902.0.1983372.6.5.1.0.0.0.117.384.4j1.5.0....0...1c.1j2.64.psy-ab..0.0.0....0.J2ju8Kx2wiU#rlfi=hd:;si:10724550731382036300;mv:[[52.27067997731903,20.932914112142168],[52.27032002268097,20.93232588785784]]","Josepha Conrada 1, 01-922 Warszawa",5871.75,"Czynne całą dobę",4.3,908.25,702.75,1126.5,772.5,869.25,746.25,746.25,0.154681313066803,0.119683229020309,0.191850811086984,0.131562140758718,0.148039340911994,0.127091582577596,0.127091582577596,10,394.5,342,372,177.75,161.25,21,5871.75,94,4.7,43.2,17.9230100312663,4.2,43.8,19.6200397929507,12.4,20.932121,4.1,35.7,17.0636363636364,3,21
"42",0,20.9080351,52.2842445,4.28,NA,"https://www.google.com/search?tbm=lcl&ei=KjCXX6-RIe_HrgS5vKvYAg&q=Arkuszowa+11&oq=Arkuszowa+11&gs_l=psy-ab.3..0l2j38j0i22i30k1l3.11671.11671.0.12102.1.1.0.0.0.0.94.94.1.1.0....0...1c.2.64.psy-ab..0.1.93....0.zcTwpMeX3lo#rlfi=hd:;si:16743738134385568528;mv:[[52.28436125629095,20.911134468250914],[52.2825005244661,20.90695022218768],null,[52.28343090014591,20.909042345219298],18]","Arkuszowa 22, 01-934 Warszawa",4958.25,"Czynne całą dobę",4.3,823.5,414.75,909.75,663.75,637.5,754.5,754.5,0.166086824988655,0.0836484646800787,0.183482075328997,0.133867796097413,0.128573589472092,0.152170624716382,0.152170624716382,10,319.5,385.5,300.75,80.25,154.5,6.75,4958.25,61,7.4,44.9,21.0300970557582,5.5,45.5,21.5678532805561,15.1,20.907755,2.8,37.3,19.3413223140496,4,12
"43",0,21.0587912,52.2655904,4.29,"Circle K","https://www.google.com/search?tbm=lcl&ei=ZC-XX6nlNsGrrgT_2J3wCg&q=52.26557+21.05877+&oq=52.26557+21.05877+&gs_l=psy-ab.3...143252.147440.0.147985.4.4.0.0.0.0.110.356.3j1.4.0....0...1c.1j2.64.psy-ab..0.0.0....0.Hesd6g1Cwjo#rlfi=hd:;si:6127711332241575417;mv:[[52.265749977319025,21.05906407943854],[52.26539002268096,21.058475920561463]]","ul, Radzymińska 96, 03-512 Warszawa",4473,"Czynne całą dobę",4.3,743.25,465,743.25,465,795,630.75,630.75,0.166163648558015,0.103957075788062,0.166163648558015,0.103957075788062,0.177733065057009,0.141012743125419,0.141012743125419,10,219.75,318,309.75,164.25,93.75,15,4473,325,7.3,35.3,20.5912421834289,7.1,34.5,18.1317703138288,11.7,21.058925,1.8,29.4,16.6644628099174,3,18
"44",0,21.015053,52.3174845,4.29,"Stacja paliw AVIA","https://www.google.com/search?tbm=lcl&ei=WiuXX4-qLcrrrgTfwYbIDA&q=P%C5%82ochoci%C5%84ska+33&oq=P%C5%82ochoci%C5%84ska+33&gs_l=psy-ab.3..0j38j0i22i30k1l7.10544.10544.0.10877.1.1.0.0.0.0.118.118.0j1.1.0....0...1c.2.64.psy-ab..0.1.118....0.tWfvUjELpzE#rlfi=hd:;si:14609938657127693887;mv:[[52.31866749280036,21.015850907972226],[52.31680820198833,21.011666661908993],null,[52.31773785715869,21.01375878494061],18]","Płochocińska 33, 03-046 Warszawa",3951.75,"Czynne całą dobę",4.1,614.25,352.5,717,571.5,534,461.25,701.25,0.1554374644145,0.089200986904536,0.181438603150503,0.144619472385652,0.13513000569368,0.116720440311255,0.177453027139875,10,273.75,242.25,152.25,183,149.25,0,3951.75,192,7,42.9,21.5532047941636,5,43.5,21.7849185766933,18.8,21.015047,5,37.4,20.2132231404959,1,11
"45",0,21.0578312,52.3039117,4.31,NA,"https://www.google.com/search?tbm=lcl&ei=iSmXX_riEdOGwPAP5O-d4A8&q=G%C5%82%C4%99bocka+15&oq=G%C5%82%C4%99bocka+15&gs_l=psy-ab.3..0l10.22438.22438.0.22907.1.1.0.0.0.0.85.85.1.1.0....0...1c.2.64.psy-ab..0.1.84....0.CQbxlL6lhbc#rlfi=hd:;si:3284169430020976114;mv:[[52.3059134,21.0600071],[52.3020107,21.056695599999998]]","Głębocka 15, 03-287 Warszawa",3229.5,"Otwarte ⋅ Zamknięcie: 22:00",4.1,575.25,135,648,135,710.25,513,513,0.178123548536925,0.0418021365536461,0.200650255457501,0.0418021365536461,0.219925685090571,0.158848118903855,0.158848118903855,15,25.5,237.75,250.5,310.5,0,0,3229.5,281,2.6,37.5,18.810054064617,4.9,36.5,20.1038008042586,18,21.056821,1.5,35.3,18.9413223140496,3,11
"46",0,21.0520792,52.3051107,4.35,"Shell","https://www.google.com/search?tbm=lcl&ei=OCmXX_3gKrHMrgT_q6zQBQ&q=Ostr%C3%B3dzka+50A%2C&oq=Ostr%C3%B3dzka+50A%2C&gs_l=psy-ab.3..38j0i22i30k1l3j38l2.15016.15016.0.15512.1.1.0.0.0.0.132.132.0j1.1.0....0...1c.2.64.psy-ab..0.1.131....0.-MwLA8RnKTo#rlfi=hd:;si:9517866993140406962;mv:[[52.30567047225389,21.05378862383423],[52.303810635431375,21.049604377770997],null,[52.30474056360813,21.051696500802613],18]","Ostródzka 51, 03-289 Warszawa",4884,"Czynne całą dobę",3.7,887.25,509.25,866.25,509.25,798.75,673.5,639.75,0.181664619164619,0.104269041769042,0.177364864864865,0.104269041769042,0.163544226044226,0.137899262899263,0.130988943488943,10,312.75,290.25,339.75,130.5,141,7.5,4884,281,0.7,38.2,17.4914245700886,2.1,38.8,18.8841132681667,15.2,21.052073,3.5,32.8,17.295041322314,2,17
"47",0,21.0283672,52.3627589,4.36,"Circle K","https://www.google.com/search?tbm=lcl&ei=FiiXX86jE6_MrgTS_I4o&q=P%C5%82ochoci%C5%84ska+195&oq=P%C5%82ochoci%C5%84ska+195&gs_l=psy-ab.3..0j38j0i22i30k1l2.11267.11267.0.11703.1.1.0.0.0.0.152.152.0j1.1.0....0...1c.2.64.psy-ab..0.1.152....0.PF9N6Fl4Wr4#rlfi=hd:;si:126398690680920883;mv:[[52.36309387731903,21.02750662693197],[52.36273392268097,21.026917173068018]]","ul, Płochocińska 200, 03-044 Warszawa",3666.75,"Czynne całą dobę",4.1,475.5,210,684.75,505.5,753.75,531,506.25,0.129678870934751,0.0572714256494171,0.186745755778278,0.137860503170382,0.205563509920229,0.144814890570669,0.138065043976273,10,252,243,306.75,45.75,49.5,0,3666.75,201,13.1,47.6,27.6728341584158,12.3,48.2,28.6427175750449,26.1,21.028218,1.7,43.2,27.2429752066116,1,2
"48",0,20.9752229,52.2787382,4.39,"Shell","https://www.google.com/search?tbm=lcl&ei=JyaXX6ynB8zMrgTL9a6oDQ&q=+52.27867+20.97514&oq=+52.27867+20.97514&gs_l=psy-ab.3...132141.136537.0.136900.4.4.0.0.0.0.82.296.4.4.0....0...1c.1j2.64.psy-ab..0.0.0....0.sVykFgn6nPc#rlfi=hd:;si:10569263421074009321;mv:[[52.278849977319034,20.97543416635946],[52.27849002268097,20.974845833640543]]","aleja Armii Krajowej 10, 01-783 Warszawa",4881,"Otwarte ⋅ Zamknięcie: 22:00",3.7,779.25,315.75,910.5,612.75,576.75,843,843,0.159649661954518,0.0646896127842655,0.186539643515673,0.125537799631223,0.118162261831592,0.172710510141364,0.172710510141364,10,232.5,363.75,383.25,261.75,0,0,4881,140,3.7,39.2,17.9631122980719,3.7,39.8,17.8268187688334,10.6,20.975337,4.9,31.7,15.9322314049587,1,24
"49",0,20.9529728,52.2246171,4.4,"MOYA","https://www.google.com/search?tbm=lcl&ei=7SWXX8HPL-nnrgSA6q3gDQ&q=52.22175+20.95735+&oq=52.22175+20.95735+&gs_l=psy-ab.3...48197.56140.0.56553.6.6.0.0.0.0.112.496.5j1.6.0....0...1c.1j2.64.psy-ab..0.0.0....0.xtPecZ1kYMc#rlfi=hd:;si:5185601933580642249;mv:[[52.221929977319036,20.957643789169175],[52.22157002268097,20.95705621083082]]","ul, Juliana Konstantego Ordona 1a, 01-237 Warszawa",3312,"Czynne całą dobę",4.3,729,242.25,729,242.25,282.75,624,462.75,0.220108695652174,0.073143115942029,0.220108695652174,0.073143115942029,0.0853713768115942,0.188405797101449,0.139719202898551,10,151.5,147.75,237.75,180,60.75,30,3312,141,5.5,37.8,16.4866629755081,2.1,38.4,16.7780566550823,8.1,20.952971,2.3,30.3,14.5876033057851,4,27
